seqID,small_end,big_end
0,-5.0,5.0
1,-1.0,5.0
2,-5.0,0.0
3,-5.0,0.5
4,-5.0,0.5
5,0.0,5.0
6,-0.5,5.0
7,0.0,5.0
8,-1.0,5.0
9,-5.0,0.0
10,-0.5,5.0
11,-5.0,0.0
12,-5.0,1.0
13,-5.0,0.0
14,-0.5,0.5
15,-0.5,5.0
16,-0.5,5.0
17,-1.0,5.0
18,-1.5,5.0
19,-0.5,0.0
20,-0.5,5.0
21,-0.5,5.0
22,-1.0,5.0
23,-0.5,5.0
24,-1.0,5.0
25,-0.5,5.0
26,-1.0,5.0
27,-1.5,5.0
28,-0.5,5.0
29,-5.0,0.5
30,-5.0,0.5
31,-2.0,5.0
32,-5.0,0.5
33,-5.0,0.5
34,-1.0,-0.5
35,-5.0,0.0
36,-5.0,0.0
37,-0.5,5.0
38,-5.0,0.5
39,-5.0,-1.0
40,-1.5,-1.0
41,-5.0,0.0
42,0.0,5.0
43,-1.0,5.0
44,0.0,5.0
45,-1.0,5.0
46,0.0,5.0
47,-0.5,5.0
48,-0.5,5.0
49,-1.0,5.0
50,-1.0,5.0
51,-5.0,-0.5
52,-0.5,0.0
53,-0.5,5.0
54,-1.0,5.0
55,-5.0,0.0
56,-1.5,5.0
57,-1.5,-0.5
58,-0.5,5.0
59,-1.0,5.0
60,-1.5,5.0
61,-1.0,5.0
62,-0.5,5.0
63,-1.5,5.0
64,-1.0,5.0
65,-5.0,-1.0
66,-5.0,0.0
67,-0.5,5.0
68,-0.5,5.0
69,-5.0,0.5
70,0.0,5.0
71,-5.0,0.5
72,-1.0,5.0
73,0.0,5.0
74,-0.5,5.0
75,-1.0,5.0
76,-0.5,5.0
77,-1.0,-0.5
78,-1.0,5.0
79,-1.0,5.0
80,-5.0,0.5
81,-1.0,5.0
82,-5.0,0.0
83,-0.5,5.0
84,-5.0,0.0
85,-5.0,2.0
86,-5.0,0.5
87,1.0,1.5
88,1.0,2.5
89,-5.0,5.0
90,-5.0,1.0
91,1.0,1.5
92,1.5,5.0
93,-5.0,5.0
