sequenceID,log_lambda,total_labels,fp,fn
100_chr1,1.8265804690638883,1,0,0
100_chr11,1.6327625287522542,1,0,0
100_chr17,1.641863663944111,1,0,0
100_chr2,1.734558705334726,1,0,0
100_chr3,1.6826692947241089,1,0,0
100_chr4,1.6362353204949376,1,0,0
101_chr1,1.8291372999943216,1,0,0
101_chr11,1.6350859153080564,1,0,0
101_chr17,1.6483695513605736,1,0,0
101_chr2,1.7387734191348363,0,0,0
101_chr3,1.6860586552156356,1,0,0
101_chr4,1.6586610167850495,1,0,0
102_chr1,1.828820266391222,0,0,0
102_chr11,1.6373766762290247,1,0,0
102_chr17,1.6473032557366176,0,0,0
102_chr2,1.7375812749434183,0,0,0
102_chr3,1.6901945189330263,1,0,0
102_chr4,1.6596547483333284,1,0,0
103_chr1,1.8203122808251364,2,0,0
103_chr11,1.611562712266506,1,0,0
103_chr17,1.633928354228994,0,0,0
103_chr2,1.7042330915198087,0,0,0
103_chr22,1.4831304777411851,1,0,0
103_chr3,1.666442781379039,1,0,0
103_chr4,1.612887921665338,1,0,0
103_chrX,1.520543522634296,1,0,0
104_chr1,1.8196357455690675,0,0,0
104_chr11,1.6180854379591356,1,0,0
104_chr17,1.6350859153080564,0,0,0
104_chr2,1.7218217550180943,0,0,0
104_chr3,1.6654905987582682,1,0,0
104_chr4,1.6180854379591356,1,0,0
105_chr1,1.837433010175254,1,0,0
105_chr11,1.666442781379039,1,0,0
105_chr17,1.6556422529709331,1,0,0
105_chr2,1.7587428653389103,1,0,0
105_chr3,1.7136314427104262,1,0,0
105_chr4,1.6996936443146262,1,0,0
106_chr1,1.8377308623123876,1,0,0
106_chr11,1.666442781379039,3,0,0
106_chr14,1.557077128137304,1,0,0
106_chr16,1.5660066297600124,1,0,0
106_chr17,1.6556422529709331,3,0,0
106_chr3,1.7136314427104262,1,0,0
106_chr4,1.6996936443146262,1,0,0
106_chr5,1.7129286210981716,3,0,1
106_chr6,1.6877261782437236,3,0,1
106_chr8,1.6616238585115888,1,0,0
106_chr9,1.6362353204949376,2,0,1
107_chr1,1.7890785923345989,1,0,0
107_chr11,1.5677385634836343,1,0,0
107_chr17,1.6019790905057438,1,0,0
107_chr2,1.6596547483333284,1,0,0
107_chr3,1.614202647204422,1,0,0
107_chr4,1.5417646344281224,1,0,0
108_chr1,1.794448709926395,1,0,0
108_chr11,1.60056406759735,0,0,0
108_chr17,1.6168012568351087,0,0,0
108_chr2,1.6809467148946111,1,0,0
108_chr3,1.6440614850208792,1,0,0
108_chr4,1.607522596743224,1,0,0
109_chr1,1.8687273871810708,1,0,0
109_chr11,1.6973728737148535,1,0,0
109_chr17,1.7071867066117268,1,0,0
109_chr2,1.796061199144026,2,0,1
109_chr3,1.7865304148526806,1,0,0
109_chr4,1.7534605989414096,1,0,0
109_chr8,1.742872541341305,2,0,1
10_chr1,1.837433010175254,1,0,0
10_chr11,1.666442781379039,1,0,0
10_chr17,1.6556422529709331,1,0,0
10_chr2,1.7577014664284185,1,0,0
10_chr3,1.7136314427104262,1,0,0
10_chr4,1.698923917545755,1,0,0
110_chr1,1.8053695817637068,1,0,0
110_chr11,1.6102268623203686,1,0,0
110_chr17,1.61935972946482,1,0,0
110_chr2,1.7086424843059957,1,0,0
110_chr3,1.6535976917010051,1,0,0
110_chr4,1.6218792042124106,1,0,0
111_chr1,1.868015434187263,1,0,0
111_chr11,1.6965914837958764,1,0,0
